Manutenzione Ordinaria (Tagliando) (Si/No),Campagna di richiamo/in garanzia (Si/No),Lavorazione per riparazione (Si/No),Raccomandabilità,Soluzione al primo tentativo,Accoglienza,Verifica tempistiche di prenotazione,Fornito Preventivo,Spiegazione lavori effettuati,10 a casa madre,Note cliente
Si,No,No,2,,10,7,No,9,No,"Come precedentemente detto, non sono assolutamente soddisfatto della concessionaria dove ho acquistato la mia automobile. Mi è stata consegnata, sporca all'esterno ed all'interno in modo frettoloso e grossolano. Non avendo un'auto, ho chiesto più volte se"
No,No,Si,10,Si,10,10,Si,9,Si,"È difficile trovare gentilezza e cordialità, questo è un grande punto a vostro favore. Grazie per essere stati chiari nel dare le spiegazioni al problema con la nostra auto!"
No,No,Si,9,No,9,10,No,9,Si,Intervento in garanzia.
No,Si,No,10,,10,10,,10,Si,Tutto ok grazie
No,Si,No,10,,10,10,,10,Si,"Molto cortese, hanno rispettato i termini di Atessa. Lavoro preciso e sarò pronto per colaborare in futuro. Grazie"
No,No,Si,10,Si,10,10,No,10,Si,Sempre top
Si,No,No,10,,10,10,Si,10,Si,Ottimo servizio👍
Si,No,No,10,,10,10,Si,10,Si,Mi sono trovato molto bene con il nuovo accettatore
Si,No,No,10,,10,10,Si,10,Si,Tutto perfetto.Graxie
No,Si,No,2,,10,10,,4,Si,Troppo alta la franchigia che mi è stata applicata.
Si,No,No,8,,10,8,Si,10,No,"Il vostro personale di Busto Arsizio, come sempre, è stato gentile e disponibile. Menzione particolare a *** n ricomprerei la mia auto da Autotorino e non lo consiglierei ad altri perché la mia esperienza di acquisto con la filiale di Saronno è stata dis"
No,Si,No,10,,10,10,,10,Si,Sono stato richiamato della BMW per cambiare Airbag. Prenotando online avevo scelto Autotorino di’ Corsico dove sono andato a cambiare! Devo dire che Staff molto gentile e disponibile! Mi hanno fatto tutto entro un ora circa al costo Zero❤️ Sono davvero
Si,No,No,10,,10,10,Si,10,Si,Nessun suggerimento e il mio commento è ottimo su tutto/i! Vi auguro buon lavoro.
Si,No,No,9,,9,9,No,9,Si,Il centro dove ho portato la macchina non è vicino al mio domicilio
Si,No,No,9,,10,10,Si,10,Si,Niente da dire molto cortesi e professionali grazie
Si,No,No,9,,9,9,Si,9,Si,"Disponibilità e cortesia sono di casa da Autotorino a Cava Manara, ho portato la mia auto per il primo tagliando tutto ok"
Si,No,No,9,,9,9,Si,9,Si,Sono sodisfatto dal servizio
Si,No,No,9,,9,9,Si,9,Si,Personale molto gentile e professionale. Grazie
Si,No,No,5,,2,9,Si,9,No,"Ho contestato le conclusioni,la manutenzione dell'olio del cambio non mi veniva fatta oggi come scritto,ma dovevo lasciare la macchina anche il giorno dopo.Cosa non fattabile.Chiedevo per la revisione che non poteva essere fatta lo stesso giorno e sono an"
Si,No,No,10,,10,10,Si,10,Si,bravi
No,Si,No,10,,10,10,,10,Si,Puntuali seri ed ospitati
Si,No,No,10,,10,10,Si,10,Si,"Tutto andata molto bene, la Sig.ra *** molto gentile e professionale.mancava soltanto la disponibilita della macchina di cortesia...."
Si,No,No,6,,10,8,Si,8,No,Troppo caro complessivamente. Troppo tempo x la lavorazione Accoglienza perfetta alla consegna del veicolo
Si,No,No,10,,10,10,Si,8,Si,".,.,"
Si,No,No,10,,10,10,Si,10,Si,Un po' di attesa e confusione all'accettazione poiché avevo richiesto anche un preventivo per una riparazione di carrozzeria che forse possono essere eliminati
Si,No,No,10,,10,10,Si,10,Si,.
No,Si,No,10,,10,10,,10,Si,molto professionali
Si,No,No,10,,10,10,Si,10,Si,Mi sono trovato bene e soprattutto mi trovo molto bene con il vostro accentratore *** molto preparato e trasparente
Si,No,No,9,,10,10,Si,10,Si,"Ho una Lexus da tre anni e sono soddisfatto del supporto, della organizzazione e della cordialità della accettazione impeccabile per i tagliandi ordinari fatti finora. Un appunto solo alla organizzazione del magazzino ricambi per gli interventi ""straordin"
Si,No,No,7,,9,9,No,5,No,"Chiesto più volte il preventivo via mail , ma non mi e stato inviato. Costo troppo alto per il 1 tagliando"
No,No,Si,8,No,10,8,Si,8,No,Prezzi troppo alti
Si,No,No,10,,10,10,Si,10,Si,Bravissimi
Si,No,No,10,,10,10,Si,10,Si,Siete molto gentili ma un po carucci
Si,No,No,8,Si,10,10,Si,10,No,Tagliando + sostituzione guarnizione portiera non avvenuto in una giornata come preventivato
Si,No,No,10,,10,10,Si,10,Si,Tutto ok come da consuetudine. Ottimo il livello raggiunto
Si,No,No,10,,10,10,Si,10,Si,"Migliorerei la fila d'attesa, con un numero o qualcos'altro per far rispettare la fila. Mentre aspettavo, persone arrivate dopo si infilavano davanti dicendo di essere arrivate prima."
Si,No,No,10,,10,10,Si,9,Si,tutto 10 e lode.Unico neo poco parcheggio
No,Si,No,6,,9,5,,6,No,Tempi di attesa per un intervento con segnalazione spia motore troppo Lunghi
Si,No,Si,10,Si,10,10,Si,10,Si,La concessionaria è top. Le mini di ultima generazione invece le trovo cambiate. I materiali e problemi riscontrati non sono per usura ma per la qualita
No,Si,No,10,,10,10,,10,Si,Personale del concessionario Autotorino di *** sempre molto disponibile preparato e professionale sotto tutti i punti di vista. Un ringraziamento a tutti per la vostra disponibilità e gentilezza !
No,Si,No,10,,10,10,,10,Si,"Servizio impeccabile, addetti professionali e cortesi"
No,No,Si,5,Si,5,5,No,3,No,È meglio non darli
No,Si,No,10,,10,10,,10,Si,Tutto a posto
No,No,Si,9,Si,10,10,Si,9,Si,Sarebbe interessante usare buoni welfer edenred  anche a susegana
Si,No,No,10,,10,10,Si,10,Si,"È la prima volta che mi affido a loro,ho riscontrato cordialità e disponibilià non comuni. Grazie per la professionalità"
Si,No,Si,10,Si,10,10,Si,10,Si,Sono anni che sono cliente presso il punto Mercedes *** e una delle ragioni per cui continuo ad affidarmi a Mercedes e’ la professionalità dell assistente *** che da sempre si dimostra professionale e serio nel suo lavoro grazie m
Si,No,No,10,,10,10,Si,10,Si,"Unica nota negativa: riconosco di avere un’auto datata, Smart Forfour 454, però è avvilente non riuscire a ritirare mai l’auto in giornata da un semplice tagliando perché i pezzi di ricambio non sono disponibili in casa se non previa attesa di alcuni gior"
No,No,Si,1,No,1,1,No,1,No,"servizio imbarazzante per il Marchio BMW e per Parma. Sembravamo essere in un film, tanta la gravissima disorganizzazione. Lasciato senza assistenza di alcun genere a Parma, senza fornire un recapito di autonoleggio, nessuna auto di cortesia a pagamento,"
Si,No,No,10,,10,10,Si,10,Si,"Servizio al cliente eccellente, puntuale e professionale."
No,Si,No,1,,9,9,,1,No,Portato auto per sostituire il radiatore come da richiamo.Uscito dal concessionario con spia motore accesa e ho dovuto chiamare il carroattrezzi. Visionata da Vostro personale e rilevata perdita di gasolio. Sarà una coincidenza ma una volta segnalato il p
Si,No,No,10,,10,10,Si,8,Si,Ragazzi ecellenti perfetto in tempo
Si,No,No,10,,10,10,Si,10,Si,Sono ancora in attesa di riparazioni secondarie post intervento (riparazione per grandine) da parte di autotorino Vigevano.g Grazie per procurarmi un napapuntameneto con questsa filiale. ***
No,No,Si,10,Si,10,10,Si,10,Si,Ho apprezzato molto la professionalità e disponibilità del sig. *** nella gestione della pratica assicurativa
Si,No,No,9,,9,9,Si,8,No,"Ho effettuato la prenotazione online, lista controlli e costo di 149 €, alla reception vengo informato che il costo reale è di 297 €, il doppio. Da un brand così importante, non mi aspettavo una “ leggerezza “ simile. Non sarebbe meglio evitare certi “ sv"
Si,No,No,10,,10,10,Si,10,Si,Nessun consiglio tutto molto bene grazie
Si,No,No,10,,10,10,No,2,No,Il ragazzo che è all’accettazione *** molto bravo e disponibile.
No,Si,No,1,,1,1,,1,No,La macchina è stato riconsegnata con lo stesso problema e dopo una giornata intera nessuno si è accorto che la macchina non si era caricata. Servizio pessimo
Si,No,No,6,,10,10,No,5,No,Il rumore sotto lo sterzo rimane sempre.stressante ( scooter c400 gt)
Si,Si,No,10,,10,10,Si,10,Si,"Tutto ottimo come sempre, grazie anche per il test drive che mi han fatto fare con la nuova RT1300 nell’attesa dell’intervento alla mia moto"
No,Si,No,10,,10,10,,10,Si,Sconto per nuclei familiari su tagliandi/riparazioni possessori di 2 o più veicoli Toyota
Si,No,No,10,,10,10,Si,10,Si,Davvero gentile e  disponibile la signora.ra *** che mi ha accolto.
Si,No,No,9,,9,9,Si,9,No,Unico problema non mi è stato fatto lo sconto del 20% per un malfunzionamento dell' app. Avendo viaggiato 57/58% in elettrico mi spettava secondo programmi della Toyota fale sconto (20% per Yaris cross) Che causa un VOSTRO problema sulla vostra app non mi
No,Si,No,9,,9,9,,9,Si,Gestire il parcheggio delle auto
Si,No,No,9,,9,9,Si,10,Si,Unica pecca nell'appuntamento è l'attesa di 30 minuti per la coda di clienti per tagliando o riparazioni.
Si,No,No,3,,9,9,Si,4,No,"quando si fa un preventivo e come nel mio caso oltre il tagliando c era la revisione la manutenzione e cambio pastiglie dei freni cambio candele pulizia filtri, richiesta tappetini nuovi xche quelli vecchi erano bucati ecc.ecc, bisogna dire subito al cli"
Si,No,No,10,,10,10,Si,10,Si,Tutto l’intervento di tagliando è stato rapido e soddisfacente Complimenti
No,No,Si,10,Si,10,10,No,10,Si,"Come Autotorino avete fatto un’ottima figura. La figuraccia è di Mercedes che consegna auto nuove che dopo tre mesi di utilizzo (poco più di 2.700 km) ti pianta per strada e non parte più. Ho dovuto attendere oltre due ore e mezza, per far raffreddare il"
Si,No,No,10,,10,10,Si,10,Si,Ottimo servizio e cordialità
No,Si,No,3,,9,5,,2,No,"La mia jeep Avenger elettrica dopo un mese dall'acquisto con solo 800km smette di funzionare dopo 4 mesi mi viene consegnata,alla mia domanda,cosa sarebbe successo all'auto,risposta,abbiamo fatto l'aggiornamento.Quattro mesi di disagio,per un'aggiornament"
Si,No,No,10,,10,10,Si,10,Si,Tutto a ok
Si,No,No,9,,9,7,No,8,Si,Tempi di prenotazione un po troppo anticipati. Dettaglio tagliando non consegnato
Si,No,No,10,,10,10,No,10,Si,Come sempre professionalità è cordialità alTop
Si,No,No,10,,10,10,Si,10,Si,*** Top 🔝🔝🔝
Si,No,No,10,,10,10,Si,9,Si,Nessuno tutto ok
Si,No,No,10,,9,10,No,6,Si,Non sarebbe male prima di fare lavori dí fare vedere la lista con i lavori da fare così il cliente decide in base al prezzo visto che costa un botto a fare un tagliando specialmente quando infilano delle robe che non servono
No,Si,No,5,,9,4,,9,No,Soddisfatto della disponibilità di *** l’unica persona disponibile ad aiutarti e tecnicamente preparata (dopo 3 settimane che avevo preso appuntamento per il richiamo  il giorno prima mi chiamano dicendomi che non c’erano i ricambi) ci vorrebbero
Si,No,No,10,,10,10,Si,10,Si,Nessuno
No,No,Si,2,Si,2,2,Si,2,-,Ho pagato l intervento perché ritenuto fuori garanzia
Si,No,No,1,,1,10,No,1,No,I scheduled an oil change appointment thru the email and they did not change my oil I still need an oil change I am trying to contact autotorino through email again to see if they can make another appointment to do my oil change and I still have not recei
No,No,Si,10,Si,10,9,Si,10,Si,Sono contento
Si,No,No,6,,8,10,No,4,No,Lavaggio che avevo omaggio che non è stato effettuato nel bagagliaio posteriore è rimasto sporco quel giorno pioveva e fuori è rimasta sporca ma nemmeno dentro hanno fatto nulla però in fattura c’è scritto che è stato fatto!
Si,No,Si,4,No,8,4,Si,8,No,Prezzi assurdi per alcune riparazioni! Alcuni danni vanno avanti da anni senza essere risolti completamente e definitivamente.
Si,No,No,10,,10,10,No,10,Si,Nessuno
No,No,Si,10,Si,10,10,Si,10,Si,🔝 nessun suggerimento! Contentissimo
Si,No,No,2,,6,2,No,2,No,Non si può lavorare solo per soldi
Si,Si,No,10,,10,4,No,10,Si,Niente
Si,No,No,10,,10,10,Si,9,Si,Grazie per il formaggio 😊
Si,No,No,9,,9,9,Si,9,Si,Tutto ok non ho da lamentare grazie
No,Si,No,10,,10,10,,10,No,"Non ritengo di darvi 10 non per colpa vostra, ma per la mancanza cronica di pezzi di ricambio,da impotarsi solo alla toyota."
Si,No,No,10,,10,10,Si,10,Si,Personale competente
Si,No,No,10,,10,10,Si,10,Si,"Contento della assistenza. Come ho comprato la macchina direttamente dal vostro concessionario speravo che qualcuno mi diceva perché vibra qualcosa nel cruscotto quando camino su strade rovinate,essendo una macchina quasi nuova non dovrebbe farlo."
No,Si,No,10,,10,9,,10,Si,Sempre  educato ecollaborativo il Sig.***. Gentile e sorridente *** che mi ha aiutato con la App di Mini.
Si,No,No,10,,10,10,Si,10,Si,purtroppo la mia Kia Sportage 2021 NON è nata sotto una buona stella ha avuto problemi di rotture Marmitta Staccata il peggio è stato con il filtro FAP difettoso ci sono voluti 3 mesi per sostituirlo ma lla fine è stato cambito in garanzia + altre cosucce
Si,No,No,10,,10,9,Si,10,Si,"Dovete avere dei prezzi nella media nazionale, l’unico problema è quello, ma per il resto ad oggi non ho mai avuto problemi"
No,No,Si,2,Si,10,10,Si,10,Si,Anche la mia auto del 2006 o 2005 non ricordo è rimasta contenta grazie.
Si,No,No,10,,10,10,Si,10,Si,Continuate così la professionalità è  il vostro valore aggiunto
No,No,Si,2,No,9,9,No,2,No,"Mi spiace dirlo ma tranne l’impiegata all’accettazione sembrano un po’ impreparati porto l’auto per ben due volte per un problema simile, prima aggiornamento poi ricalibrazioni e poi???? Riconsegnandomi l’auto non nei tempi stabiliti in entrambi i casi. ***"
Si,No,No,8,,9,10,Si,9,No,Ho trovato qualche difficoltà nel parlare al telefono con il referente dell’assistenza Hyundai senza ricevere riscontri anche utilizzando la mail.
No,No,Si,10,Si,10,10,Si,10,Si,Nulla
Si,No,No,8,,9,9,Si,9,No,Si può sempre migliorare. Anche nel provare a ridurre il costo dei tagliandi.
Si,No,No,9,,9,9,Si,8,No,Solo un piccolo appunto… se un cliente deve aspettare 2/3 in sala d’attesa (e ci sta ci mancherebbe) fare un cenno o dire una parola x far capire come stanno andando i lavori… tutto qui. Insomma… un po’ di “considerazione” in più.
Si,No,No,9,,9,9,Si,9,Si,Molto soddisfatto del personale all' accettazione
No,Si,No,10,,10,10,,10,Si,Tutto al top
Si,No,No,9,,10,9,Si,9,Si,Del servizio sono stato molto contento. L’unica vera lacuna è che siete diventati molto cari. Secondo me 110 euro l’ora sono davvero tanti.
No,No,Si,9,Si,10,10,Si,9,Si,Costi x sostituzione pastiglie un po' esosi.Bisognerebbe fare promozioni sconti.
Si,No,No,10,,10,10,Si,10,Si,Vedere di abbassare un po’ i prezzi dei tagliandi per i clienti affezionati del marchio Toyota come il sottoscritto fin dal 1990 Grazie
Si,No,No,10,,10,10,Si,10,Si,Siete sempre molto gentili e professionali! *** numero uno!!! Grazie
Si,Si,Si,10,Si,10,10,Si,10,Si,"Riscontro positivo,rispettata la tempistica, personale cordiale e professionale. Grazie"
No,No,Si,5,No,7,2,No,2,No,In quattro anni servizio peggiorato!
Si,No,No,9,,9,9,Si,9,Si,Bella concessionaria e molto disponibile
Si,No,No,10,,10,9,Si,9,Si,Dovreste inserire in organico una persona che prenda gli appuntamenti telefonici direttamente in concessionario perché è stato impossibile chiamare per prendere appuntamento come sempre. Ho dovuto prenotare l’appuntamento on line e non ho potuto segnalare
No,No,Si,10,Si,10,10,Si,10,Si,Servizio di accoglienza e lavorazione  OTTIMI
Si,Si,Si,10,Si,10,10,Si,10,Si,Ottimo servizio e celerità nell'intervento da effettuare
Si,No,No,9,,9,9,Si,9,Si,Più celeri nel rispondere e nel contattare al telefono.
Si,No,No,10,,10,10,Si,10,Si,"Personale preparato in maniera ottima, disponibile e gentile, cose rare da trovare dopo il post vendita… soprattutto per chi come il sottoscritto ha acquistato una macchina usata…"
Si,No,No,10,,10,10,Si,9,Si,Se si tratta di Autotorino di Vigevano do un 10 e lode. Per quanto riguarda Autotorino di Cava Manara do uno ZERO tondo e consapevole. Buona giornata
Si,No,No,10,,10,10,Si,10,Si,Bravissimi 👍
Si,No,No,3,,9,9,Si,9,No,"Il giorno dopo il tagliando, l'auto non parte più, per l'ennesima volta, avevo già segnalato svariate volte problemi con la batteria servizi, ma è sempre stata ignorata da parte dell officine! ADESSO BASTA!!!!!"
Si,No,No,10,,10,10,Si,10,Si,Unica osservazione: La mail di avviso per il ritiro dell’auto arriva il giorno dopo averla già ritirata!
Si,No,No,10,,10,10,Si,10,Si,Sodisfatto x cortesia e accoglienza del personale
Si,No,No,10,,10,10,Si,10,Si,Credo assistenza seria e professionale
No,No,Si,8,No,10,10,Si,8,No,Ho richiamato per anomalia il lunedì successivo. Ho chiesto di essere richiamata e purtroppo non ho ricevuto nessuna chiamata ancora..oggi se non vengo ricontattata dovrò passare personalmente.. Mi aspettavo almeno da quel punto di vista un pò più di cort
Si,No,No,10,,10,10,Si,10,Si,"Ho chiesto chiarimenti circa il preventivo propostomi,hanno motivato il costo alto.Effettivamente lo era.Ho poi ricontattato l'officina e rivalutando il preventivo,siamo arrivati ad una soluzione valida.Grazie.Al sig.***."
No,No,Si,9,No,10,9,Si,10,Si,Tutto il personale è gentile e disponibile.
No,No,Si,10,Si,10,10,Si,10,Si,In questa occasione tutto perfetto. Grazie
Si,No,No,9,,10,10,No,10,Si,"Buongiorno, sono soddisfatta di come hanno lavorato, non posso dire niente. Avevo chiesto il rabbocco dell’AdBlue che non è stato fatto, ho sempre il “problema” del bagagliaio (se rimane aperto per un po’ poi fa fatica a chiudersi), adesso noto che lo spe"
Si,No,No,9,,10,9,Si,9,Si,Grazie per aver anticipato l’appuntamento sapendo che andavo in vacanza. Grazie ancora *** ***
No,Si,No,10,,10,10,,10,Si,"Unico suggerimento, durante gli interventi essere più chiari in quanto a volte non si comprendono molto bene le garanzie e proposte che durante il contratto vengono consigliate ed accettate"
No,No,Si,10,Si,10,10,Si,10,Si,la garanzia su queste macchine dovrebbe essere di almeno 5 anni
Si,No,No,10,,10,10,No,10,Si,Nessun appunto
Si,No,No,9,,9,9,Si,8,No,Preventivi alquanto discordanti riguardanti lo stesso problema.
No,No,Si,10,Si,10,10,Si,10,Si,Piena soddisfazione sia da parte dell'accoglienza per la cortesia e la professionalità delle persone con le quali ho interloquito. Altrettanta soddisfazione per la celerità della soluzione del problema che si era presentato riguardo al l'ammortizzatore po
Si,No,No,2,,3,3,Si,2,No,"Mi é stato fatto un preventivo di circa 700 euro,ne ho chiesto un altro ad altra concessionaria e mi hanno detto che avevo il tagliando gratuito fino al 2027 perché il service car attivo. Per l'appuntam mi sono recata di persona due mesi prima perché al t"
No,No,Si,10,Si,10,10,Si,10,Si,Capofficina e meccanici bravissimi
Si,No,No,10,,10,10,Si,10,Si,Bravi i e professionali …
Si,No,No,10,,10,10,No,10,Si,Confusionaria educati precisi e preparati
Si,No,No,10,,10,10,Si,10,Si,Servizio eccellente e professionalità al top di tutti i dipendenti aziendali
Si,No,No,9,,9,9,Si,9,Si,Purtroppo questa volta non ho ricevuto il video delle lavorazioni fatte. Mi è stato detto che non hanno avuto tempo. Peccato perché avevo anche il cambio pastiglie oltre al tagliando annuale e avrei avuto il piacere di vedere in che stato fossero visto ch
Si,No,Si,9,Si,9,7,Si,9,No,"Il mio problema con gli alberi a camme. Pienamente d'accordo che bmw ti venga in contro sulla lavorazione e manutenzione, ma secondo me è un problema di consumo alberi e materiale che in quell'anno ha dato problemi 2017 2018 . Mi sembra troppo caro come i"
Si,No,No,10,,10,10,Si,10,Si,"Tutto è stato fantastico: l'attenzione personale, il rispetto dei apuntamento e degli orari di lavoro.   Molto soddisfatto del servizio che hanno fornito alla mia moto.   Molte grazie."
No,No,Si,9,Si,10,10,Si,10,Si,Tutto bene
Si,No,No,10,,10,10,No,9,Si,Complimenti per il video con la spiegazione dei lavori eseguiti Gentilissima la signora all' accettazione per la parte burocratica
Si,No,No,9,,9,10,No,9,Si,"Accoglienza abbastanza gentile,potrebbe migliorare"
No,Si,No,8,,9,8,,7,No,Se  all ‘atto della prenotazione mi avessero detto subito che la macchina aveva solo bisogno di un controllo  e nn la sostituzione dell’airbag nn avrei aderito …. comunque grazie lo stesso
Si,No,No,10,,10,10,Si,10,Si,Grazie di tutto siete strepitosi
Si,No,No,10,,10,10,Si,10,Si,"Accettatore competente e la receptionist mi ha offerto anche il caffè, molto gradito"
Si,No,No,9,,9,10,No,9,Si,Servirebbe un parcheggio per l'accettazione nel piccolo corridoio di accesso nn è ben chiaro dove sostare
Si,No,No,9,,9,9,Si,9,Si,"Mi è stata consegnata con l’interno in condizioni pietose, vi siete dimenticati i finestrini aperti mentre pioveva? Credo proprio di si, siccome ho trovato il panno della polvere a lato portiera completamente zuppo. Colate sulle plastiche interne, stracci"
Si,No,No,9,,10,7,Si,9,No,"Personale molto gentile ed efficiente. I tempi di prenotazione per la sostituzione delle pastiglie posteriori un po lunghetti, ho prenotato il 13/06 e l'appuntamento era per il 25/07, ne frattempo ( 11/07), la macchina segnalava la necessità della sostit"
Si,No,No,9,,9,9,Si,9,No,.
Si,No,No,10,,10,10,No,10,Si,Direi che per quel che mi riguarda è tutto ok
No,No,Si,10,Si,10,10,No,10,Si,Tutto ok grazie
Si,No,No,8,,6,8,No,8,Si,"Forte difficoltà nel Reperire al telefono un Vs incaricato (12 tentativi), relativamente alla mia auto già da voi per manutenzione."
Si,No,No,10,,10,10,No,10,Si,Professionalità e correttezza esemplari
Si,Si,No,10,,10,10,Si,10,Si,"Tagliandi troppo frequenti per chi fa tanti km, spendere 500€ ogni 6 mesi mi sembra un po' eccessivo. Rivedrei le politiche sui kilometraggi"
Si,No,No,10,,10,10,Si,10,Si,"Non posso che essere contento di portare la macchina in ***, *** sempre brillante, disponibile e preparato su tutto!"
No,No,Si,7,No,8,9,No,8,No,Sono stato costretto a tornare 3 volte dopo il tagliando per risolvere un problema (ancora non risolto) per un'operazione non effettuata durante la lavorazione; non è la prima volta che si ripete questo disagio. Si presti più attenzione durante il lavoro
No,No,Si,9,Si,10,10,Si,10,Si,Per favore ringraziate si sig. *** ara ritiro veicoli per la sua gentilezza. Promuovetelo! Aumentategli lo stipendio!
Si,No,No,8,,8,10,No,8,No,Dopo 3 anni non ho ancora capito che tipo di lavoro fanno alla mia Smart elettrica
Si,No,No,4,,10,10,Si,10,No,"Personale gentilissimo e preparato. Il gestionale è osceno. Non si può aspettare ogni volta mezz'ora per l'accettazione di un tagliando non per colpa del personale ma dell' iter burocratico. Nelle altre concessionarie 3 minuti e i documenti sono pronti, i"
No,Si,No,9,,9,9,,9,No,"Problema di rottura del parabrezza nella parte superiore,in prossimità della telecamera."
Si,Si,Si,2,No,2,2,No,2,No,"Buongiorno, spiacente ma sono veramente deluso dell’acquisto della GLA nuova GLA . Nemmeno un anno dall’acquisto sono già due volte che lo devo portare in officina e quindi la prima volta per il cambio la seconda volta avrei un problema allo schermo princ"
Si,No,No,10,,10,10,Si,10,Si,Nessuno
No,No,Si,4,No,4,4,Si,4,No,Sono insoddisfatto per sostituire una gomma forata ci sono voluti due giorni ( 54 )ore nonostante l' intervento del servizio Mercedes al numero ***. Non hanno auto di cortesia se non a pagamento. Il costo mi è sembrato molto caro €317 per una gomma.
No,No,Si,6,Si,8,4,Si,4,No,Siccome era un intervento in codice bianco forse era meglio che mi avessero fatto portare l’auto il giorno prima senza tenerla dieci giorni comunque sono stati molto cortesi
Si,No,No,10,,10,10,No,10,Si,Migliorare il servizio di call center
No,No,Si,2,No,2,2,No,2,No,"Non siamo polli da spennare né clienti che comunque hanno sempre torto. Con un documento (assetto vettura) che attestava il mal funzionamento non si procedeva con il risarcimento del danno (pneumatici anteriori con consumo, dopo soli 10.000 km, consumati"
Si,No,No,10,,10,10,No,10,Si,tutto molto bene
No,No,Si,2,Si,10,10,Si,2,No,"Prezzi fuori mercato per una semplice sostituzione di un componente già dichiarato al responsabile dell,officina. La ho portata chiedendo la sostituzione della valvola egr. Mi hanno fatto un checkup con lo stesso risultato. Preventivo di sostituzione assu"
No,No,Si,2,No,9,9,Si,2,No,Ho fatto il preventivo per sostituire il fanale posteriore della avensis sw a un pezzo folle!!! Lo stesso fanale originale l'ho trovato a meno della metà. Un furto!!
Si,No,No,10,,10,10,Si,10,Si,Continuate così! Grazie!
No,No,Si,10,Si,10,10,No,10,Si,Nessuno
No,Si,No,9,,10,9,,10,Si,Sono stati professionali quindi nulla da aggiungere
Si,No,No,8,,9,6,No,9,No,"Purtroppo quest'anno ho aspettato davvero troppo, accettazione veloce ma poi.....appuntanento alle h 14.00 e alle h. 16.15 era ancora parcheggiata, per un semplice tagliando di controllo filtri e olio in cui non hanno trovato niente,se non una gomma con u"
Si,No,No,10,,10,10,Si,10,Si,"Tutto bene, personale competente e gentile"
No,No,Si,10,Si,10,10,Si,10,Si,"Continuate così: cortesia, professionalità ed efficienza."
No,No,Si,6,No,9,9,No,6,No,"Ho dovuto chiamare più volte per avere aggiornamenti sullo stato dell'auto. Una tra le mie esigenze ho faticato per avere la soluzione,nulla di staordinario. Il fastidio principale (un rumore  percepito a livello della portiera) in 2 settimane non è stato"
Si,No,Si,10,Si,10,9,No,9,Si,"Suggerisco alla proprieta' di valutare l'acquisto della concessionaria/e di ***, dove vivo. Mi sono stancato di essere costretto a guidare per 300km a/r per avere assistenza a livello del marchio e venire da voi. Ringrazio *** per la prova su"
Si,No,No,10,,10,10,Si,10,Si,"Buongiorno, un commento sono stata accolta super bene prima del ragazzo che me ha fatto il tagliando bravissimo bravissimo!! anche in anticipo stop!! E poi della mia agente che me ha salutata con un caloroso e sincero abbraccio, mi sono sentita a casa bel"
Si,No,No,10,,10,10,Si,10,Si,Autorino Legnago: team eccezionale!
Si,No,No,9,,9,9,No,9,Si,Niente da aggiungere tutto al top personale qualificato
Si,No,No,10,,10,10,Si,10,Si,Nessuno
No,No,Si,10,Si,10,10,Si,10,Si,"Servizio.professionalita,competente.tutto Perfetto grazie"
No,No,Si,10,Si,10,10,Si,10,Si,"Sono rimasto molto soddisfatto del servizio ricevuto il personale è stato molto disponibile,i tempi di riparazione sono stati rispettati inoltre il costo finale è stato più basso di quanto preventivato"
No,No,Si,9,Si,10,10,Si,10,Si,Personale sempre all’altezza … Da annni👌👌
No,No,Si,10,Si,9,9,Si,9,Si,"Buongiorno, mi sono recato x un problema alla portiera posteriore della mia vettura e il CONSULENTE il Sig. *** *** che mi ha accolto su appuntamento con la solita cordialità e professionalità. Essendo un intervento particolare e in prossimità della"
Si,No,No,9,,9,9,Si,9,No,Nessuno.
Si,No,No,10,,10,10,No,9,No,Costo per semplice manutenzione molto elevato
No,Si,No,10,,10,10,,10,Si,Va tutto bene così com'è e spero che tale rimanga.
No,No,Si,10,Si,10,10,Si,10,Si,"Professionali e gentili come al solito,suggerirei una scontistica maggiore sui ricambi"
Si,No,No,9,,10,9,Si,9,No,"Il video dell’ispezione sotto il veicolo, potrebbe essere un po’ più lento e magari soffermarsi su particolari importanti, come il cambio olio per esempio. Non dico di fare un documentario, ma un video che non sia un viaggio sulle montagne russe Grazie"
Si,No,No,10,,10,10,Si,10,Si,"Una nota negativa è il call center. Ho chiamato una settimana prima perché avevo la necessità di spostare l'appuntamento e mi hanno fatto aspettare 20 minuti, dopo i quali ho dovuto attaccare perché non potevo più stare al telefono."
Si,No,No,4,,9,3,Si,7,No,"Una volta consegnata l'auto noto che la parte posteriore dell'auto era piena di graffi come se fossero andati addosso a qualcosa (perdeva ancora la ""polverina"" dai solchi stessi quindi era evidentemente fresca come cosa) e, invece che scusarsi e sistemare"
No,No,No,10,,10,10,,10,Si,Nulla da obiettare...tutto ok
Si,No,No,8,,10,10,Si,10,Si,"per i clienti ordinari, applicare delle scontistiche sia sui pezzi di ricambio che sulla lavorazione"
No,No,Si,5,No,8,9,No,1,No,"Continua ad uscirmi la spia dei pneumatici in errore quindi ho lasciato la macchina in concessionaria per poi sentirmi dire che non c’era nessun problema e che andavano semplicemente gonfiate tutte le gomme, cosa che avevo già fatto fare al mio gommista,"
